nohup: ignoring input
[0/2][1/2]Run with 9(3*3) board in 2 blocks(bytes),every queen must attack 3.
Run with 9(3*3) board in 2 blocks(bytes),every queen must attack 3.
[1/2]All boards exhausted.
[1/2]Max pieces:4
[0/2]All boards exhausted.
[0/2]Max pieces:6
[0/2]Final max pieces:6
3, 3:6:1,3,6,7,8,9,
3, 3:6:1,3,4,7,8,9,
3, 3:6:1,3,4,6,7,9,
3, 3:6:1,2,3,7,8,9,
3, 3:6:1,2,3,6,7,9,
3, 3:6:1,2,3,4,7,9,
[1/2][0/2]Run with 16(4*4) board in 2 blocks(bytes),every queen must attack 3.
Run with 16(4*4) board in 2 blocks(bytes),every queen must attack 3.
[1/2]All boards exhausted.
[1/2]Max pieces:6
[0/2]All boards exhausted.
[0/2]Max pieces:8
[0/2]Final max pieces:8
4, 3:8:1,4,8,12,13,14,15,16,
4, 3:8:1,4,7,9,13,14,15,16,
4, 3:8:1,4,7,8,9,10,13,16,
4, 3:8:1,4,6,12,13,14,15,16,
4, 3:8:1,4,6,8,12,13,15,16,
4, 3:8:1,4,5,9,13,14,15,16,
4, 3:8:1,4,5,8,9,12,13,16,
4, 3:8:1,4,5,7,9,13,14,16,
4, 3:8:1,4,5,6,11,12,13,16,
4, 3:8:1,3,4,8,10,12,13,16,
4, 3:8:1,3,4,7,10,13,14,16,
4, 3:8:1,2,4,6,11,13,15,16,
4, 3:8:1,2,4,5,9,11,13,16,
4, 3:8:1,2,3,4,13,14,15,16,
4, 3:8:1,2,3,4,8,12,13,16,
4, 3:8:1,2,3,4,8,10,13,16,
4, 3:8:1,2,3,4,5,11,13,16,
4, 3:8:1,2,3,4,5,9,13,16,
[1/2][0/2]Run with 25(5*5) board in 4 blocks(bytes),every queen must attack 3.
Run with 25(5*5) board in 4 blocks(bytes),every queen must attack 3.
[1/2]All boards exhausted.
[1/2]Max pieces:10
[0/2]All boards exhausted.
[0/2]Max pieces:10
[0/2]Final max pieces:10
5, 3:10:4,5,7,9,11,16,18,20,23,25,
5, 3:10:4,5,7,8,11,15,16,21,24,25,
5, 3:10:4,5,6,7,14,15,16,17,24,25,
5, 3:10:3,5,6,8,10,11,17,19,24,25,
5, 3:10:3,4,7,14,15,16,17,21,24,25,
5, 3:10:3,4,5,7,12,16,20,21,23,25,
5, 3:10:2,4,7,9,16,18,20,21,23,25,
5, 3:10:2,4,5,6,7,15,16,21,23,25,
5, 3:10:2,3,9,11,12,19,20,21,22,25,
5, 3:10:1,5,10,15,20,21,22,23,24,25,
5, 3:10:1,5,10,14,15,16,17,21,24,25,
5, 3:10:1,5,10,11,20,21,22,23,24,25,
5, 3:10:1,5,10,11,15,20,21,22,24,25,
5, 3:10:1,5,10,11,15,18,21,22,24,25,
5, 3:10:1,5,10,11,15,18,20,21,22,25,
5, 3:10:1,5,10,11,15,16,18,21,24,25,
5, 3:10:1,5,10,11,15,16,18,20,21,25,
5, 3:10:1,5,10,11,12,15,18,21,24,25,
5, 3:10:1,5,10,11,12,15,18,20,21,25,
5, 3:10:1,5,10,11,12,14,15,16,21,25,
5, 3:10:1,5,9,11,16,21,22,23,24,25,
5, 3:10:1,5,9,10,11,16,20,21,23,25,
5, 3:10:1,5,8,10,12,16,21,23,24,25,
5, 3:10:1,5,8,10,11,12,15,20,21,25,
5, 3:10:1,5,8,9,11,12,20,21,22,25,
5, 3:10:1,5,7,15,20,21,22,23,24,25,
5, 3:10:1,5,7,10,15,20,21,23,24,25,
5, 3:10:1,5,7,10,15,16,20,21,23,25,
5, 3:10:1,5,7,9,16,18,20,21,23,25,
5, 3:10:1,5,7,8,14,15,16,21,24,25,
5, 3:10:1,5,6,15,16,21,22,23,24,25,
5, 3:10:1,5,6,11,16,21,22,23,24,25,
5, 3:10:1,5,6,11,15,18,21,22,24,25,
5, 3:10:1,5,6,11,15,18,20,21,22,25,
5, 3:10:1,5,6,11,15,16,21,22,24,25,
